@relation MSD_JMIR_LPC_ALL-weka.filters.unsupervised.attribute.Remove-R3-22_MSD_JMIR_MEATHODS_OF_MOMENTS_ALL-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.instance.RemovePercentage-P90.0

@attribute Method_of_Moments_Overall_Standard_Deviation_1 numeric
@attribute Method_of_Moments_Overall_Standard_Deviation_2 numeric
@attribute Method_of_Moments_Overall_Standard_Deviation_3 numeric
@attribute Method_of_Moments_Overall_Standard_Deviation_4 numeric
@attribute Method_of_Moments_Overall_Standard_Deviation_5 numeric
@attribute Method_of_Moments_Overall_Average_1 numeric
@attribute Method_of_Moments_Overall_Average_2 numeric
@attribute Method_of_Moments_Overall_Average_3 numeric
@attribute Method_of_Moments_Overall_Average_4 numeric
@attribute Method_of_Moments_Overall_Average_5 numeric
@attribute class {BIG_BAND,BLUES_CONTEMPORARY,COUNTRY_TRADITIONAL,DANCE,ELECTRONICA,EXPERIMENTAL,FOLK_INTERNATIONAL,GOSPEL,GRUNGE_EMO,HIP_HOP_RAP,JAZZ_CLASSIC,METAL_ALTERNATIVE,METAL_DEATH,METAL_HEAVY,POP_CONTEMPORARY,POP_INDIE,POP_LATIN,PUNK,REGGAE,RNB_SOUL,ROCK_ALTERNATIVE,ROCK_COLLEGE,ROCK_CONTEMPORARY,ROCK_HARD,ROCK_NEO_PSYCHEDELIA}

@data
-0.45024,-0.686694,-0.742433,-0.873897,-0.87595,-0.389072,-0.307981,-0.25154,0.189622,-0.164413,METAL_DEATH
-0.206315,-0.638291,-0.586068,-0.648605,-0.690985,-0.348556,-0.459155,-0.572258,-0.461586,-0.784658,ROCK_ALTERNATIVE
-0.606872,-0.640133,-0.613861,-0.6991,-0.742913,-0.700578,-0.496338,-0.414188,0.064569,-0.259446,COUNTRY_TRADITIONAL
-0.673116,-0.786204,-0.744201,-0.756886,-0.792399,-0.735673,-0.638498,-0.79831,-0.613519,-0.887906,ROCK_COLLEGE
-0.616158,-0.586518,-0.60587,-0.667597,-0.718391,-0.829409,-0.585915,-0.591269,-0.369027,-0.72602,JAZZ_CLASSIC
-0.487076,-0.474427,-0.576733,-0.690729,-0.750014,-0.596979,-0.419155,-0.329343,0.072447,-0.263996,FOLK_INTERNATIONAL
-0.249033,-0.447776,-0.522914,-0.664356,-0.715784,-0.497645,-0.265915,-0.356099,-0.352239,-0.679767,POP_CONTEMPORARY
-0.609967,-0.604154,-0.737058,-0.79973,-0.822358,-0.690449,-0.341033,-0.263862,0.180267,-0.169215,ROCK_HARD
-0.723758,-0.710602,-0.791443,-0.866517,-0.873842,-0.618036,-0.298404,-0.280056,0.227039,-0.104764,ROCK_ALTERNATIVE
-0.462312,-0.635665,-0.632956,-0.729883,-0.758669,-0.575033,-0.45784,-0.568386,-0.413928,-0.755415,COUNTRY_TRADITIONAL
-0.619564,-0.363512,-0.231966,-0.411611,-0.456366,-0.848068,-0.482441,-0.479317,-0.324668,-0.657778,RNB_SOUL
-0.266367,-0.712404,-0.790736,-0.840864,-0.83828,-0.420258,-0.32338,-0.297307,0.23147,-0.089347,METAL_ALTERNATIVE
-0.346231,-0.755595,-0.787765,-0.889469,-0.873842,-0.321901,-0.290704,-0.266678,0.229008,-0.109567,METAL_DEATH
