@relation MSD_JMIR_LPC_ALL-weka.filters.unsupervised.attribute.Remove-R3-22_MSD_JMIR_MEATHODS_OF_MOMENTS_ALL-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.instance.Randomize-S23-weka.filters.unsupervised.instance.RemovePercentage-P90.0

@attribute Method_of_Moments_Overall_Standard_Deviation_1 numeric
@attribute Method_of_Moments_Overall_Standard_Deviation_2 numeric
@attribute Method_of_Moments_Overall_Standard_Deviation_3 numeric
@attribute Method_of_Moments_Overall_Standard_Deviation_4 numeric
@attribute Method_of_Moments_Overall_Standard_Deviation_5 numeric
@attribute Method_of_Moments_Overall_Average_1 numeric
@attribute Method_of_Moments_Overall_Average_2 numeric
@attribute Method_of_Moments_Overall_Average_3 numeric
@attribute Method_of_Moments_Overall_Average_4 numeric
@attribute Method_of_Moments_Overall_Average_5 numeric
@attribute class {BIG_BAND,BLUES_CONTEMPORARY,COUNTRY_TRADITIONAL,DANCE,ELECTRONICA,EXPERIMENTAL,FOLK_INTERNATIONAL,GOSPEL,GRUNGE_EMO,HIP_HOP_RAP,JAZZ_CLASSIC,METAL_ALTERNATIVE,METAL_DEATH,METAL_HEAVY,POP_CONTEMPORARY,POP_INDIE,POP_LATIN,PUNK,REGGAE,RNB_SOUL,ROCK_ALTERNATIVE,ROCK_COLLEGE,ROCK_CONTEMPORARY,ROCK_HARD,ROCK_NEO_PSYCHEDELIA}

@data
-0.672187,-0.755242,-0.718812,-0.628173,-0.61215,-0.826388,-0.703474,-0.710509,-0.233291,-0.45103,REGGAE
-0.381829,-0.430139,-0.457214,-0.614041,-0.648655,-0.525544,-0.328075,-0.386376,-0.307141,-0.649185,POP_LATIN
-0.529794,-0.771703,-0.779703,-0.851395,-0.853093,-0.489027,-0.432864,-0.394121,0.163036,-0.143688,PUNK
-0.509054,-0.728552,-0.823904,-0.892169,-0.887822,-0.281653,-0.206197,-0.190283,0.22507,-0.133072,ROCK_COLLEGE
-0.437858,-0.704252,-0.718529,-0.823042,-0.825576,-0.639449,-0.411268,-0.342369,0.161066,-0.169973,COUNTRY_TRADITIONAL
-0.653924,-0.651813,-0.592221,-0.652115,-0.694424,-0.790049,-0.582911,-0.665059,-0.479014,-0.798559,JAZZ_CLASSIC
-0.220554,-0.660357,-0.736775,-0.791179,-0.798946,-0.488316,-0.352488,-0.324767,0.194545,-0.124984,GOSPEL
-0.45736,-0.781619,-0.843918,-0.892619,-0.87656,-0.273212,-0.252582,-0.260694,0.261994,-0.078984,METAL_DEATH
-0.483981,-0.674819,-0.735997,-0.848245,-0.862191,-0.432252,-0.285822,-0.227249,0.189622,-0.163402,METAL_ALTERNATIVE
-0.74651,-0.619165,-0.591938,-0.653825,-0.716671,-0.822834,-0.499906,-0.587045,-0.437609,-0.780943,BLUES_CONTEMPORARY
-0.453026,-0.737997,-0.762164,-0.79883,-0.799057,-0.381964,-0.362254,-0.329695,0.214731,-0.105017,ROCK_NEO_PSYCHEDELIA
-0.710385,-0.745483,-0.761033,-0.779928,-0.796394,-0.693914,-0.559061,-0.516986,0.030598,-0.241501,ROCK_COLLEGE
-0.740783,-0.590829,-0.510184,-0.40063,-0.383079,-0.866637,-0.74216,-0.721246,-0.322896,-0.552888,HIP_HOP_RAP
-0.664758,-0.757123,-0.719095,-0.735284,-0.786519,-0.761617,-0.708732,-0.801901,-0.601014,-0.879591,COUNTRY_TRADITIONAL
-0.281845,-0.345091,-0.396535,-0.586949,-0.681498,-0.559485,-0.187981,-0.391656,-0.458386,-0.725009,PUNK
-0.475313,-0.657339,-0.652192,-0.689559,-0.727822,-0.509818,-0.527136,-0.545855,-0.314083,-0.683306,GOSPEL
-0.749729,-0.802391,-0.795827,-0.751395,-0.746075,-0.825056,-0.590423,-0.621193,-0.048667,-0.270062,BIG_BAND
-0.634112,-0.656633,-0.632532,-0.687579,-0.707462,-0.72972,-0.569953,-0.493047,0.002043,-0.293315,POP_INDIE
-0.57406,-0.557123,-0.508557,-0.563546,-0.579029,-0.692492,-0.644507,-0.564161,-0.135317,-0.421458,POP_CONTEMPORARY
-0.678378,-0.633902,-0.659335,-0.79676,-0.810652,-0.765526,-0.413521,-0.317726,0.13645,-0.208644,ROCK_CONTEMPORARY
-0.233246,-0.594356,-0.598939,-0.683888,-0.726546,-0.579387,-0.528075,-0.656046,-0.51973,-0.825957,POP_INDIE
-0.544962,-0.65973,-0.76959,-0.851305,-0.837393,-0.696046,-0.233239,-0.174793,0.214238,-0.13105,METAL_ALTERNATIVE
-0.098282,-0.606114,-0.620297,-0.732493,-0.740083,-0.175211,-0.272676,-0.408555,-0.384487,-0.713636,PUNK
0.107568,-0.543798,-0.446393,-0.614131,-0.690985,-0.57139,-0.483005,-0.419468,0.012874,-0.292557,DANCE
-0.558892,-0.233784,-0.296959,-0.50369,-0.633509,-0.792892,-0.390235,-0.2533,-0.078207,-0.399469,DANCE
-0.571893,-0.795689,-0.796393,-0.794599,-0.789071,-0.585695,-0.548357,-0.471924,0.069985,-0.230128,ROCK_COLLEGE
-0.481504,-0.754811,-0.793989,-0.890639,-0.887157,-0.422035,-0.310986,-0.287097,0.224577,-0.114622,METAL_DEATH
-0.592633,-0.721027,-0.714639,-0.790279,-0.80111,-0.603554,-0.47061,-0.403626,0.122172,-0.191457,ROCK_ALTERNATIVE
-0.696115,-0.657613,-0.664993,-0.70369,-0.718779,-0.839805,-0.529765,-0.473332,0.038968,-0.259194,ROCK_ALTERNATIVE
-0.435382,-0.365863,-0.450071,-0.584428,-0.648877,-0.774767,-0.526385,-0.554304,-0.408315,-0.739163,FOLK_INTERNATIONAL
-0.604396,-0.662238,-0.640028,-0.665437,-0.719057,-0.853576,-0.714742,-0.744622,-0.509342,-0.813547,JAZZ_CLASSIC
-0.521746,-0.309818,-0.402617,-0.548335,-0.636671,-0.733629,-0.314742,-0.374758,-0.279571,-0.613547,ROCK_NEO_PSYCHEDELIA
-0.53289,-0.621438,-0.682815,-0.806391,-0.805381,-0.707863,-0.415775,-0.33392,0.139404,-0.201314,POP_CONTEMPORARY
-0.270082,-0.651969,-0.719307,-0.782988,-0.810874,-0.509462,-0.316056,-0.260341,0.185683,-0.156325,ROCK_COLLEGE
-0.569726,-0.483833,-0.509123,-0.606571,-0.646325,-0.691604,-0.625352,-0.553248,-0.140733,-0.416656,ROCK_CONTEMPORARY
-0.23727,-0.47913,-0.502829,-0.619442,-0.634951,-0.660773,-0.543286,-0.495511,-0.050144,-0.338304,GOSPEL
-0.717876,-0.68203,-0.700566,-0.791539,-0.79939,-0.830209,-0.40338,-0.368773,0.160082,-0.152028,BLUES_CONTEMPORARY
-0.703947,-0.601803,-0.555799,-0.633303,-0.659639,-0.805864,-0.648638,-0.603591,-0.158949,-0.424491,COUNTRY_TRADITIONAL
-0.604086,-0.543798,-0.651839,-0.725113,-0.736976,-0.812528,-0.490892,-0.642669,-0.518795,-0.816176,COUNTRY_TRADITIONAL
-0.356446,-0.58691,-0.661881,-0.762376,-0.798613,-0.602577,-0.396056,-0.55888,-0.49024,-0.811096,ROCK_CONTEMPORARY
-0.640303,-0.802234,-0.757072,-0.661656,-0.639556,-0.830831,-0.776714,-0.783735,-0.36755,-0.579679,BLUES_CONTEMPORARY
-0.661972,-0.603371,-0.680835,-0.79586,-0.810485,-0.840782,-0.308545,-0.288858,0.191099,-0.132819,BLUES_CONTEMPORARY
-0.505649,-0.705624,-0.664922,-0.555446,-0.546241,-0.780631,-0.750798,-0.747016,-0.314182,-0.527613,DANCE
-0.788918,-0.875877,-0.851344,-0.779478,-0.750402,-0.88805,-0.692394,-0.758388,-0.250031,-0.424744,EXPERIMENTAL
-0.285869,-0.499118,-0.634795,-0.725923,-0.701415,-0.667259,-0.313615,-0.383559,0.154174,-0.151776,METAL_HEAVY
-0.551153,-0.756535,-0.799364,-0.872637,-0.865132,-0.630031,-0.27662,-0.259989,0.229993,-0.118413,ROCK_NEO_PSYCHEDELIA
-0.755332,-0.7175,-0.761245,-0.857426,-0.859972,-0.690093,-0.374648,-0.316318,0.194545,-0.130545,METAL_ALTERNATIVE
-0.632874,-0.75779,-0.675743,-0.681368,-0.718558,-0.7506,-0.680563,-0.656645,-0.185535,-0.441173,POP_INDIE
-0.639994,-0.618381,-0.55983,-0.618812,-0.646879,-0.818658,-0.548357,-0.62577,-0.439579,-0.771364,COUNTRY_TRADITIONAL
-0.57375,-0.478346,-0.534371,-0.648875,-0.675784,-0.834651,-0.484883,-0.423341,0.022721,-0.287249,DANCE
-0.803807,-0.748971,-0.732037,-0.762646,-0.784854,-0.864771,-0.665164,-0.80338,-0.640844,-0.911513,METAL_ALTERNATIVE
-0.667853,-0.675289,-0.685361,-0.807831,-0.830458,-0.684407,-0.43831,-0.379335,0.12808,-0.188171,ROCK_NEO_PSYCHEDELIA
-0.277202,-0.474819,-0.375601,-0.389379,-0.316505,-0.640871,-0.049014,0.015666,0.184206,-0.135347,DANCE
-0.735428,-0.590437,-0.564851,-0.664356,-0.694757,-0.856775,-0.553052,-0.407499,0.025183,-0.323897,PUNK
-0.44993,-0.736547,-0.761174,-0.848155,-0.851484,-0.328121,-0.395305,-0.344482,0.17879,-0.144446,ROCK_NEO_PSYCHEDELIA
-0.797307,-0.671056,-0.672136,-0.773177,-0.790069,-0.86175,-0.502347,-0.429678,0.061615,-0.263743,ROCK_ALTERNATIVE
